2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Onsite Renewable System Generation (kWh)
Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity - Onsite Renewable System Electricity Used Onsite/Coincident (kWh)
Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems (kWh),Electricity Use – Generated from Onsite Renewable Systems and Exported (kWh),Onsite Renewable System Electricity Exported (kWh)
Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh),Green Power - Onsite (kWh)
Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh),Green Power - Offsite (kWh)
Total (Location-Based) GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions (MtCO2e)
Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (MtCO2e)
eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Output Emissions Rate (kgCO2e/MBtu)
Indirect (Location-Based) GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (MtCO2e)
Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e),Net Emissions (Metric Tons CO2e)
