2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²),Hotel - Gym/fitness  Center Floor Area (ft²)
K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²),K-12 School - Gross Floor Area (ft²)
Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²),Pre-school/Daycare - Gross Floor Area (ft²)
Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²),Laboratory - Gross Floor Area (ft²)
Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²),Mailing Center/Post Office - Gross Floor Area (ft²)
Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²),Movie Theater - Gross Floor Area (ft²)
Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²),Manufacturing/Industrial Plant - Gross Floor Area (ft²)
Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing,Multifamily Housing - Government Subsidized Housing
Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²),Multifamily Housing - Gross Floor Area (ft²)
Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms,Multifamily Housing - Number of Bedrooms
"Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)","Multifamily Housing - Number of Bedrooms Density (Number per 1,000 ft²)"
Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units,Multifamily Housing - Number of Laundry Hookups in All Units
Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s),Multifamily Housing - Number of Laundry Hookups in Common Area(s)
Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Setting (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Setting (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Setting (10 or more Stories),Multifamily Housing - Number of Residential Living Units in a High-Rise Setting (10 or more Stories)
Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled,Multifamily Housing - Percent That Can Be Cooled
Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated,Multifamily Housing - Percent That Can Be Heated
Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units
"Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)","Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 ft²)"
"Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a High-Rise Setting Density (Number per 1,000 ft²)"
Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting (5-9 Stories),Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting (5-9 Stories),Multifamily Housing - Total Number of Residential Living Units,Multifamily Housing - Total Number of Residential Living Units
"Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting Density (Number per 1,000 ft²)","Multifamily Housing - Number of Residential Living Units in a Mid-Rise Setting Density (Number per 1,000 ft²)"
Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type,Multifamily Housing - Resident Population Type
Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²),Residence Hall/Dormitory - Gross Floor Area (ft²)
Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²),Non-Refrigerated Warehouse - Gross Floor Area (ft²)
Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²),Office - Gross Floor Area (ft²)
Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers,Office - Number of Computers
Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift,Office - Number of Workers on Main Shift
Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled,Office - Percent That Can Be Cooled
Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated,Office - Percent That Can Be Heated
Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours,Office - Weekly Operating Hours
"Office - Worker Density (Number per 1,000 sq ft)","Office - Worker Density (Number per 1,000 sq ft)","Office - Worker Density (Number per 1,000 sq ft)","Office - Worker Density (Number per 1,000 sq ft)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)","Office - Worker Density (Number per 1,000 ft²)"
Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²),Other - Gross Floor Area (ft²)
Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²),Museum - Gross Floor Area (ft²)
Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²),Performing Arts - Gross Floor Area (ft²)
Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²),Parking - Gross Floor Area (ft²)
Parking - Completely Enclosed Parking Garage Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²),Parking - Open Parking Lot Size (ft²)
Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²),Refrigerated Warehouse - Gross Floor Area (ft²)
Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²),Restaurant - Gross Floor Area (ft²)
Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours,Restaurant - Weekly Operating Hours
"Restaurant - Worker Density (Number per 1,000 sq ft)","Restaurant - Worker Density (Number per 1,000 sq ft)","Restaurant - Worker Density (Number per 1,000 sq ft)","Restaurant - Worker Density (Number per 1,000 sq ft)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)","Restaurant - Worker Density (Number per 1,000 ft²)"
Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²),Retail Store - Gross Floor Area (ft²)
Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units,Retail Store - Number of Walk-in Refrigeration/Freezer Units
Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units,Retail Store - Number of Open or Closed Refrigeration/Freezer Units
Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²),Self-Storage Facility - Gross Floor Area (ft²)
Senior Living Community - Gross Floor Area (ft²),Senior Living Community - Gross Floor Area (ft²),Senior Living Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²),Senior Care Community - Gross Floor Area (ft²)
"Senior Living Community - Living Unit Density (Number per 1,000 sq ft)","Senior Living Community - Living Unit Density (Number per 1,000 sq ft)","Senior Living Community - Living Unit Density (Number per 1,000 sq ft)","Senior Care Community - Living Unit Density (Number per 1,000 sq ft)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)","Senior Care Community - Living Unit Density (Number per 1,000 ft²)"
Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²),Social/Meeting Hall - Gross Floor Area (ft²)
Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²),Supermarket/Grocery - Gross Floor Area (ft²)
Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²),Wholesale Club/Supercenter- Gross Floor Area (ft²)
Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²),Worship Facility - Gross Floor Area (ft²)
Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property GFA - Self-Reported (ft²),Property Floor Area (Buildings and Parking) (ft²)
Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - Calculated (Buildings and Parking) (ft²),Property GFA - EPA Calculated (Buildings and Parking) (ft²),Property Floor Area (Building(s)) (ft²),Property Floor Area (Building(s)) (ft²),Property Floor Area (Building(s)) (ft²)
Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - Calculated (Buildings) (ft²),Property GFA - EPA Calculated (Buildings) (ft²),Property GFA - EPA Calculated (Buildings) (ft²),Property GFA - EPA Calculated (Buildings) (ft²),Property GFA - EPA Calculated (Buildings) (ft²)
Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - Calculated (Parking) (ft²),Property GFA - EPA Calculated (Parking) (ft²),Property GFA - EPA Calculated (Parking) (ft²),Property GFA - EPA Calculated (Parking) (ft²),Property GFA - EPA Calculated (Parking) (ft²)
